ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
01053125,488.0,29.0,20.0,342.0,94.0,1.0,,,1.0,,2.0,0.0
01053126,674.0,27.0,34.0,365.0,235.0,,6.0,3.0,0.0,0.0,4.0,1.0
01053127,351.0,14.0,6.0,313.0,16.0,,,,,0.0,1.0,0.0
01053128,652.0,20.0,18.0,538.0,69.0,,,,,,6.0,0.0
01053129,687.0,453.0,77.0,74.0,75.0,0.0,,,2.0,0.0,6.0,40.0
01053130,499.0,44.0,17.0,423.0,4.0,2.0,,,0.0,1.0,8.0,1.0
01053131,515.0,50.0,18.0,418.0,23.0,,,,,4.0,2.0,
01053132,1046.0,59.0,47.0,716.0,158.0,,,,,1.0,65.0,0.0
01053133,597.0,151.0,45.0,225.0,167.0,,,,0.0,2.0,7.0,0.0
01053134,790.0,47.0,32.0,569.0,130.0,,2.0,,,1.0,8.0,1.0
01053135,607.0,20.0,17.0,530.0,36.0,,,,,,4.0,2.0
01053136,1118.0,53.0,39.0,640.0,323.0,6.0,,32.0,,0.0,23.0,4.0
01054000,208354.0,13526.0,8975.0,158558.0,8270.0,481.0,545.0,673.0,825.0,8106.0,8393.0,607.0
01054001,2990.0,146.0,102.0,2618.0,58.0,1.0,8.0,0.0,6.0,6.0,45.0,2.0
01054002,879.0,114.0,34.0,664.0,30.0,0.0,,,1.0,15.0,21.0,6.0
01054003,1011.0,47.0,30.0,912.0,4.0,1.0,,7.0,,1.0,9.0,3.0
01054004,729.0,25.0,30.0,594.0,11.0,,,63.0,0.0,0.0,6.0,1.0
01054005,907.0,42.0,40.0,793.0,2.0,2.0,,0.0,8.0,1.0,20.0,3.0
01054006,570.0,33.0,30.0,485.0,8.0,,,,1.0,1.0,13.0,1.0
01054007,557.0,52.0,15.0,459.0,3.0,0.0,,,4.0,4.0,20.0,1.0
01054009,1447.0,53.0,45.0,1039.0,136.0,2.0,,0.0,34.0,42.0,96.0,1.0
01054010,1729.0,159.0,76.0,1305.0,123.0,8.0,4.0,,7.0,1.0,46.0,1.0
01054011,1529.0,58.0,52.0,1383.0,11.0,2.0,,,,7.0,16.0,2.0
01054012,1335.0,59.0,61.0,1010.0,174.0,0.0,,2.0,1.0,8.0,21.0,1.0
01054013,918.0,23.0,30.0,800.0,48.0,,,,,3.0,14.0,0.0
01054014,3471.0,191.0,163.0,2795.0,222.0,2.0,18.0,,7.0,10.0,63.0,5.0
01054015,551.0,36.0,24.0,472.0,4.0,1.0,,,,4.0,10.0,1.0
01054016,633.0,28.0,25.0,566.0,1.0,0.0,,,2.0,0.0,11.0,0.0
01054017,1335.0,69.0,50.0,1033.0,140.0,13.0,,0.0,6.0,1.0,23.0,2.0
01054018,1385.0,95.0,43.0,1176.0,43.0,1.0,0.0,,2.0,2.0,22.0,1.0
01054019,975.0,252.0,83.0,546.0,68.0,2.0,,,6.0,4.0,13.0,32.0
01054020,1007.0,151.0,66.0,754.0,20.0,0.0,,,,5.0,9.0,5.0
01054022,3692.0,124.0,165.0,2907.0,1.0,1.0,,,79.0,23.0,392.0,6.0
01054023,1633.0,55.0,33.0,1337.0,10.0,1.0,,,51.0,11.0,136.0,3.0
01054024,1770.0,103.0,73.0,1346.0,221.0,1.0,4.0,,1.0,3.0,18.0,7.0
01054025,272.0,12.0,12.0,224.0,4.0,,,,1.0,10.0,10.0,
01054026,518.0,15.0,14.0,464.0,,,,,1.0,10.0,14.0,0.0
01054027,782.0,21.0,26.0,700.0,13.0,1.0,,,4.0,1.0,17.0,
01054032,260.0,14.0,10.0,211.0,11.0,,,0.0,,6.0,8.0,3.0
01054033,402.0,121.0,39.0,156.0,1.0,0.0,,,13.0,12.0,60.0,13.0
01054034,1349.0,51.0,40.0,1197.0,0.0,0.0,,,14.0,2.0,44.0,2.0
01054035,1489.0,51.0,40.0,1366.0,11.0,0.0,,0.0,2.0,0.0,19.0,1.0
01054036,306.0,122.0,29.0,150.0,2.0,,,,0.0,0.0,2.0,5.0
01054037,1018.0,36.0,35.0,911.0,23.0,0.0,,,,0.0,12.0,1.0
01054038,1202.0,45.0,49.0,1041.0,44.0,,2.0,1.0,3.0,2.0,15.0,
01054039,252.0,1.0,0.0,188.0,,,,,1.0,57.0,5.0,
01054040,327.0,10.0,10.0,298.0,,,,,,2.0,8.0,0.0
01054041,1279.0,78.0,49.0,1093.0,8.0,,0.0,11.0,4.0,22.0,13.0,8.0
01054042,701.0,125.0,51.0,489.0,27.0,2.0,1.0,,0.0,0.0,5.0,4.0
01054043,3529.0,46.0,65.0,2158.0,1.0,0.0,,0.0,27.0,398.0,833.0,0.0
01054045,1628.0,49.0,54.0,1430.0,67.0,,,,5.0,1.0,22.0,1.0
01054046,564.0,132.0,29.0,1.0,,,,,,397.0,6.0,1.0
01054048,400.0,13.0,15.0,355.0,6.0,0.0,,,2.0,0.0,8.0,1.0
01054050,578.0,12.0,13.0,509.0,,,,,0.0,5.0,38.0,1.0
01054052,1170.0,63.0,57.0,882.0,50.0,0.0,0.0,,,108.0,9.0,3.0
01054054,354.0,23.0,14.0,289.0,13.0,,,,0.0,3.0,13.0,0.0
01054055,1699.0,85.0,67.0,1343.0,78.0,1.0,1.0,,30.0,14.0,80.0,2.0
01054056,2580.0,1010.0,291.0,1033.0,118.0,5.0,2.0,,4.0,67.0,50.0,85.0
01054057,1461.0,43.0,50.0,1073.0,157.0,,,28.0,1.0,96.0,14.0,
01054059,1912.0,73.0,69.0,1658.0,92.0,0.0,1.0,,,6.0,12.0,1.0
